Binary Search Tree				
Size	Ordered	Random	Ordered_Contains	Random_Contains
1200	0.010410699	0.000322348	0.002948584	0.000004995
1210	0.010389637	0.000331848	0.002997224	0.000008251
1220	0.010906872	0.000326474	0.003117521	0.000006514
1230	0.01144886	0.000344008	0.003151178	0.000010423
1240	0.013798129	0.000406165	0.003203944	0.000008251
1250	0.011046277	0.000340317	0.003200252	0.000007165
1260	0.011646026	0.000388034	0.00415047	0.000009772
1270	0.011528768	0.000349274	0.003380046	0.00000608
1280	0.011205877	0.000347754	0.003255624	0.000008686
1290	0.012143935	0.000337168	0.003105578	0.0000076
1300	0.011375683	0.000453503	0.003342915	0.0000152
1310	0.012065111	0.000364854	0.003464516	0.000011509
1320	0.012897637	0.000506703	0.003692298	0.00001216
1330	0.012483981	0.000400357	0.003649303	0.000078606
1340	0.013026186	0.000374734	0.003759612	0.000010205
1350	0.016890245	0.000380814	0.004210184	0.000007383
1360	0.01477006	0.000377774	0.004160458	0.00001216
1370	0.019197822	0.00037658	0.003837567	0.000005211
1380	0.013891066	0.000378317	0.003900755	0.000005429
1390	0.020076817	0.000479994	0.003938538	0.000009771
1400	0.017461113	0.000434122	0.004115076	0.000005428
1410	0.014992198	0.000417674	0.004446218	0.000009554
1420	0.014534461	0.000402365	0.004064915	0.000005863
1430	0.014698187	0.000405785	0.004163932	0.000008469
1440	0.018038279	0.000408283	0.004234069	0.000007166
1450	0.015122701	0.000410454	0.004314629	0.000005863
1460	0.014681466	0.000416914	0.00421735	0.000005429
1470	0.016663982	0.000418922	0.004447955	0.000007166
1480	0.017742965	0.000412408	0.004618195	0.000006515
1490	0.015572404	0.000427988	0.004542412	0.000006514
1500	0.015676633	0.000464143	0.004478138	0.00001064
1510	0.015890736	0.000431843	0.004860961	0.000008686
1520	0.015727661	0.000432494	0.004483566	0.00000608
1530	0.016068793	0.000420442	0.004595612	0.000005429
1540	0.01949509	0.000443731	0.005948196	0.000010205
1550	0.018309707	0.000439551	0.005151933	0.0000076
1560	0.017655022	0.000442211	0.00509591	0.000005646
1570	0.019824279	0.000448943	0.005257247	0.000005863
1580	0.020806199	0.000637477	0.005626825	0.000020628
1590	0.017308244	0.000479071	0.005046618	0.000005863
1600	0.018553125	0.000472285	0.005428356	0.000005863
1610	0.017282404	0.000436782	0.00496823	0.000010857
1620	0.020411651	0.000468432	0.00516127	0.000005863
1630	0.017796381	0.000542043	0.004816013	0.000008252
1640	0.017817228	0.000439986	0.005159967	0.000005646
1650	0.01799789	0.00046018	0.005273098	0.000010857
1660	0.027765413	0.000508277	0.00649279	0.000009554
1670	0.018691228	0.000492697	0.005631601	0.000005428
1680	0.019715056	0.000491666	0.005219899	0.000006297
1690	0.019151136	0.000490471	0.005727579	0.000009554
1700	0.019474679	0.000471417	0.005669601	0.000005863
1710	0.019931331	0.000502034	0.005752333	0.000006514
1720	0.019339182	0.00048108	0.005560813	0.00000608
1730	0.020920199	0.000473968	0.00594711	0.00000608
1740	0.020067262	0.000476683	0.005753853	0.000005646
1750	0.020745833	0.000483088	0.005888482	0.000005863
1760	0.021115628	0.000496985	0.005876322	0.000006297
1770	0.020167799	0.000498397	0.005911716	0.000006514
1780	0.022996737	0.000490797	0.006311259	0.000013245
1790	0.021913411	0.000492914	0.005842665	0.000006949
1800	0.021460017	0.000515606	0.006192481	0.000006731
1810	0.020899788	0.000545354	0.005939728	0.00000608
1820	0.0218778	0.000518591	0.00631039	0.000006515
1830	0.024603595	0.000505997	0.006093899	0.000006949
1840	0.022509468	0.000521251	0.006461522	0.000006297
1850	0.023540463	0.000509146	0.00661135	0.000006515
1860	0.023644257	0.000515605	0.006768779	0.000006515
1870	0.023205628	0.0005282	0.006715362	0.000006514
1880	0.023647515	0.000530805	0.006753796	0.00000608
1890	0.02376108	0.000600074	0.006940973	0.000006731
1900	0.023715263	0.000532868	0.006907099	0.000006515
1910	0.024592954	0.000537917	0.00706735	0.000006297
1920	0.025760532	0.000526843	0.007205019	0.000006731
1930	0.026474498	0.000656911	0.008217339	0.000008686
1940	0.026895104	0.000543454	0.007492516	0.000006948
1950	0.027372819	0.000585688	0.007615636	0.000007166
1960	0.025479115	0.000568968	0.007299259	0.000006949
1970	0.028067676	0.0005529	0.007522047	0.000007165
1980	0.02664843	0.000575048	0.009107842	0.000006732
1990	0.026996944	0.0006042	0.007900528	0.000006949
2000	0.027695276	0.000571683	0.007866219	0.000007166
2010	0.028534315	0.000685629	0.008132002	0.000010205
2020	0.029282373	0.00057836	0.007935054	0.000006515
2030	0.028918441	0.000630365	0.008322871	0.0000076
2040	0.028273527	0.000586666	0.008000848	0.000007166
2050	0.028561241	0.000599531	0.008154802	0.000006948
2060	0.029333184	0.000609031	0.008486163	0.000008034
2070	0.029417002	0.000624014	0.008549568	0.000007383
2080	0.029220705	0.00059128	0.008122448	0.000007382
2090	0.02864267	0.000611311	0.008255122	0.000007166
2100	0.028843527	0.000586665	0.009308265	0.000007383
2110	0.030401094	0.000629823	0.008329602	0.000009988
2120	0.031092911	0.000593831	0.008592562	0.0000076
2130	0.033170099	0.00064258	0.008929133	0.000008034
2140	0.032068099	0.000774874	0.009629637	0.000012594
2150	0.034232146	0.000610985	0.008959534	0.000007817
2160	0.034302934	0.000612722	0.00897126	0.000007166
2170	0.032718442	0.000692251	0.009513031	0.000007817
2180	0.038734821	0.000636283	0.010051328	0.000007817
2190	0.032624203	0.000745017	0.009296322	0.0000076
2200	0.037640638	0.000679386	0.009320642	0.0000076
2210	0.035626638	0.000763582	0.010000083	0.00001216
2220	0.036873907	0.00066804	0.009356905	0.000009554
2230	0.033800683	0.000643286	0.010873214	0.0000076
2240	0.036709529	0.000633623	0.010518837	0.000008686
2250	0.037060215	0.000764669	0.009665248	0.00001064
2260	0.037143381	0.00078394	0.010085203	0.000011074
2270	0.034696615	0.000666846	0.010863877	0.000007382
2280	0.035814901	0.000752129	0.009979454	0.000019326
2290	0.036302169	0.000669994	0.009777728	0.000007817
2300	0.040719725	0.00072922	0.010844551	0.000008468
2310	0.036350809	0.00066576	0.010090849	0.000008252
2320	0.038342227	0.000827857	0.01102174	0.000012594
2330	0.038895941	0.000685031	0.01154918	0.00000912
2340	0.039065747	0.00072998	0.010970277	0.000008903
2350	0.038066455	0.000687311	0.010899272	0.000008034
2360	0.037658661	0.000673685	0.011364391	0.000008469
2370	0.039177793	0.000710111	0.011601294	0.000007817
2380	0.038075141	0.000747731	0.011211305	0.00000912
2390	0.041219153	0.000705171	0.011707043	0.000008034
2400	0.038653827	0.000729057	0.012480941	0.00001368
2410	0.040323438	0.000755277	0.01171486	0.000008468
2420	0.042518102	0.000749414	0.014471706	0.000009337
2430	0.040018135	0.00097964	0.011216517	0.000013463
2440	0.048000526	0.000792083	0.014165318	0.000011943
2450	0.043138697	0.00080218	0.011893351	0.000016069
2460	0.043958845	0.000758805	0.013143009	0.000008903
2470	0.041136421	0.000727048	0.011558301	0.000008903
2480	0.043048365	0.000727048	0.0126375	0.000011292
2490	0.042182399	0.000779814	0.012003009	0.0000152
2500	0.043809885	0.000893435	0.013413786	0.000013463
2510	0.050139818	0.000794146	0.013181009	0.000008686
2520	0.043573633	0.000798651	0.014008975	0.000009337
2530	0.044975291	0.000814611	0.013121512	0.000008903
2540	0.049082984	0.00080902	0.013022061	0.000012377
2550	0.045712058	0.000823189	0.013306083	0.000009337
2560	0.046893966	0.000778402	0.012576483	0.000016286
2570	0.047121315	0.000763149	0.012682231	0.000010206
2580	0.048931418	0.000803374	0.013524529	0.000009337
