BST
Size;Add_Ordered;Add_Random;Remove_Ordered;Remove_Random;Contains_Ordered;Conrains_Random
1250;11046277;340317;3137498;8686;3200252;7165
1260;11646026;388034;3750927;10640;4150470;9772
1270;11528768;349274;3370492;6297;3380046;6080
1280;11205877;347754;3272778;8251;3255624;8686
1290;12143935;337168;3149440;8034;3105578;7600
1300;11375683;453503;3856675;18674;3342915;15200
1310;12065111;364854;3512503;12160;3464516;11509
1320;12897637;506703;7132059;12160;3692298;12160
1330;12483981;400357;3623247;12377;3649303;78606
1340;13026186;374734;3785018;12160;3759612;10205
1350;16890245;380814;4350024;7817;4210184;7383
1360;14770060;377774;3829750;12594;4160458;12160
1370;19197822;376580;3860366;6080;3837567;5211
1380;13891066;378317;3903578;6297;3900755;5429
1390;20076817;479994;4104652;10423;3938538;9771
1400;17461113;434122;4147212;6515;4115076;5428
1410;14992198;417674;4231464;12160;4446218;9554
1420;14534461;402365;4055795;6731;4064915;5863
1430;14698187;405785;4225384;9554;4163932;8469
1440;18038279;408283;4234504;7817;4234069;7166
1450;15122701;410454;4791693;7600;4314629;5863
1460;14681466;416914;4251441;6297;4217350;5429
1470;16663982;418922;4495293;7600;4447955;7166
1480;17742965;412408;4601693;7600;4618195;6515
1490;15572404;427988;4572379;8686;4542412;6514
1500;15676633;464143;4529167;10857;4478138;10640
1510;15890736;431843;4729373;9988;4860961;8686
1520;15727661;432494;4580847;6732;4483566;6080
1530;16068793;420442;4484870;6731;4595612;5429
1540;19495090;443731;5649407;10640;5948196;10205
1550;18309707;439551;4884847;8035;5151933;7600
1560;17655022;442211;5090481;6514;5095910;5646
1570;19824279;448943;5196013;7166;5257247;5863
1580;20806199;637477;6525795;24320;5626825;20628
1590;17308244;479071;5194927;6949;5046618;5863
1600;18553125;472285;5423144;7166;5428356;5863
1610;17282404;436782;4993419;8034;4968230;10857
1620;20411651;468432;5205350;7383;5161270;5863
1630;17796381;542043;5080059;9771;4816013;8252
1640;17817228;439986;5163875;6732;5159967;5646
1650;17997890;460180;5336939;7383;5273098;10857
1660;27765413;508277;6472596;13681;6492790;9554
1670;18691228;492697;5574276;6949;5631601;5428
1680;19715056;491666;5376241;8468;5219899;6297
1690;19151136;490471;5405555;11074;5727579;9554
1700;19474679;471417;5824425;6949;5669601;5863
1710;19931331;502034;5803578;7383;5752333;6514
1720;19339182;481080;5638550;6732;5560813;6080
1730;20920199;473968;5995533;6948;5947110;6080
1740;20067262;476683;5779693;17372;5753853;5646
1750;20745833;483088;5966870;7383;5888482;5863
1760;21115628;496985;5865030;7600;5876322;6297
1770;20167799;498397;5932996;6949;5911716;6514
1780;22996737;490797;6840436;7818;6311259;13245
1790;21913411;492914;5852001;7600;5842665;6949
1800;21460017;515606;6444368;7600;6192481;6731
1810;20899788;545354;6545338;7600;5939728;6080
1820;21877800;518591;6115396;7382;6310390;6515
1830;24603595;505997;6493876;16068;6093899;6949
1840;22509468;521251;6799396;7600;6461522;6297
1850;23540463;509146;6455659;7600;6611350;6515
1860;23644257;515605;6684093;7600;6768779;6515
1870;23205628;528200;6697122;7817;6715362;6514
1880;23647515;530805;6747281;8035;6753796;6080
1890;23761080;600074;7190470;8686;6940973;6731
1900;23715263;532868;6844562;14114;6907099;6515
1910;24592954;537917;6975499;7817;7067350;6297
1920;25760532;526843;7213922;8034;7205019;6731
1930;26474498;656911;8883968;9554;8217339;8686
1940;26895104;543454;7091670;9120;7492516;6948
1950;27372819;585688;7661453;8686;7615636;7166
1960;25479115;568968;7484482;8251;7299259;6949
1970;28067676;552900;8012791;8469;7522047;7165
1980;26648430;575048;7591967;8685;9107842;6732
1990;26996944;604200;8008230;8034;7900528;6949
2000;27695276;571683;8482905;8034;7866219;7166
2010;28534315;685629;8808836;11726;8132002;10205
2020;29282373;578360;7877945;8685;7935054;6515
2030;28918441;630365;8369339;8903;8322871;7600
2040;28273527;586666;8008448;8034;8000848;7166
2050;28561241;599531;8476608;8469;8154802;6948
2060;29333184;609031;8533065;8469;8486163;8034
2070;29417002;624014;8646196;9120;8549568;7383
2080;29220705;591280;8390619;8252;8122448;7382
2090;28642670;611311;8363694;8686;8255122;7166
2100;28843527;586665;8985157;9120;9308265;7383
2110;30401094;629823;8209739;10857;8329602;9988
2120;31092911;593831;8321785;8686;8592562;7600
2130;33170099;642580;8881362;9989;8929133;8034
2140;32068099;774874;9060722;13897;9629637;12594
2150;34232146;610985;8797979;9337;8959534;7817
2160;34302934;612722;9534745;8903;8971260;7166
2170;32718442;692251;9652871;9337;9513031;7817
2180;38734821;636283;9766437;16285;10051328;7817
2190;32624203;745017;10072826;9337;9296322;7600
2200;37640638;679386;9518026;9120;9320642;7600
2210;35626638;763582;9457876;13463;10000083;12160
2220;36873907;668040;9355168;10857;9356905;9554
2230;33800683;643286;9712151;9771;10873214;7600
2240;36709529;633623;9978802;10640;10518837;8686
2250;37060215;764669;10206151;13245;9665248;10640
2260;37143381;783940;10487351;12811;10085203;11074
2270;34696615;666846;9560585;9555;10863877;7382
2280;35814901;752129;10707317;14331;9979454;19326
2290;36302169;669994;10219180;9772;9777728;7817
2300;40719725;729220;11002414;10423;10844551;8468
2310;36350809;665760;9948836;9554;10090849;8252
2320;38342227;827857;11176780;14766;11021740;12594
2330;38895941;685031;9899980;11074;11549180;9120
2340;39065747;729980;11411946;11074;10970277;8903
2350;38066455;687311;11439740;9772;10899272;8034
2360;37658661;673685;10985477;9989;11364391;8469
2370;39177793;710111;10986563;9337;11601294;7817
2380;38075141;747731;10897535;10205;11211305;9120
2390;41219153;705171;11081237;9772;11707043;8034
2400;38653827;729057;11183728;15417;12480941;13680
2410;40323438;755277;11719638;10206;11714860;8468
2420;42518102;749414;12099855;10857;14471706;9337
2430;40018135;979640;12508734;15417;11216517;13463
2440;48000526;792083;13868483;13029;14165318;11943
2450;43138697;802180;11515088;11074;11893351;16069
2460;43958845;758805;11963923;11074;13143009;8903
2470;41136421;727048;11833203;10422;11558301;8903
2480;43048365;727048;12540438;11726;12637500;11292
2490;42182399;779814;11980643;10640;12003009;15200
2500;43809885;893435;15561330;23451;13413786;13463
2510;50139818;794146;13549066;16720;13181009;8686
2520;43573633;798651;13682175;10858;14008975;9337
2530;44975291;814611;13083729;11291;13121512;8903
2540;49082984;809020;13118254;14766;13022061;12377
2550;45712058;823189;13336483;16069;13306083;9337
2560;46893966;778402;13569477;10640;12576483;16286
2570;47121315;763149;14362918;13028;12682231;10206
2580;48931418;803374;13527135;11509;13524529;9337
2590;45338354;778131;12603409;10857;12561066;9555
2600;46295520;776014;13300438;10640;13901272;8903
2610;44894079;798814;12624689;15200;13207283;9337
2620;45458868;813526;13313466;10640;12942586;9337
2630;45617817;795123;13027489;10640;12988838;8686
2640;46761292;802886;13684998;11074;13722563;9120
2650;47544961;836922;13799432;11725;13614643;9338
2660;47278960;805002;13566221;11074;13430941;10206
2670;47195578;816457;13742107;11726;13864574;9337
2680;46917417;833774;13596403;10857;13727124;9120
2690;49605430;832905;14332518;10857;15983238;8903
2700;48246115;848757;13615078;11509;13691077;8903
2710;48589852;834534;14152289;10857;14230244;9120
2720;48740549;824220;14089969;11074;14380507;9120
2730;51828539;924974;14855181;15634;14936392;14549
2740;50268149;824817;14243055;11291;14488210;9337
2750;50190630;849734;14341421;17154;14322312;9337
2760;50676379;842568;14351192;11291;14990461;9120
2770;53482299;845011;15302930;12377;14899261;10857
2780;51196653;824545;14668004;11509;14671695;10206
2790;53773922;874325;15488804;29748;15632770;9772
2800;51515201;861080;14508621;11509;14979170;9554
2810;58373009;988271;17722987;15851;16284416;15635
2820;51171682;859126;14777010;11291;14646940;9120
2830;53669043;858800;15962827;13897;16111135;22366
2840;53822563;1014003;15566976;11291;15388266;9555
2850;56342940;885020;16280073;11943;16940404;9771
2860;54528928;872154;15148975;11726;14897090;9771
2870;59922107;902500;15846221;12594;16714141;14332
2880;54631636;877474;15879010;11943;15894427;9554
2890;58065317;890883;15775433;11943;15958701;10205
2900;55900186;908146;16320678;11726;16213410;9771
2910;54904369;887246;15817776;13680;15558506;11943
2920;58252712;893759;16590153;12160;16818370;10206
2930;56040025;889145;15821684;11943;16004953;9989
2940;58641397;889471;16662027;12160;16381913;9989
2950;57041272;894846;16612735;11943;16561490;9989
2960;63078061;967534;18214382;13246;18176165;11074
2970;60415021;1291674;17048541;12377;17353410;11726
2980;62631399;960043;17436576;13246;18223285;10423
2990;57403900;903966;16975581;12594;16265090;10857
3000;65948256;975188;17092187;12812;17364485;10206
3010;59497592;946743;16609044;12811;17103045;13680
3020;60912929;1038866;17485216;15417;17544496;13463
3030;59602689;945168;16984484;12160;17435708;10423
3040;60087787;921391;17434621;12377;17327787;10206
3050;61406930;957600;17819616;12812;17537547;9988
3060;62864393;1121272;18923354;18457;18497970;16068
3070;61450792;940174;17519742;12594;17789433;10423
3080;62345204;963083;17826130;12160;18390702;10857
3090;64995434;962323;17906690;12377;18795022;15852
3100;64315125;963083;18990667;12811;18382885;10640
3110;65570862;969597;18896211;12811;18568107;10640
3120;67075011;954668;19265570;12594;19172416;10206
3130;65434497;985829;18512519;14549;19290759;13897
3140;66276794;965363;19048645;13245;19015205;10423
3150;66560816;975840;18384187;12811;18656051;10640
3160;66562989;1024480;21763365;12595;19573696;11291
3170;67714280;974211;20110690;12811;19530702;11509
3180;65474451;991257;19474897;23017;19102496;10857
3190;67722965;1004340;18952450;12594;18852999;10640
3200;68176360;996035;19711582;12594;20001468;10640
3210;77554328;989683;18808485;13028;19593891;18023
3220;69322440;1006186;19952611;12812;20377777;11291
3230;68553103;1002168;19633193;13028;19662725;11292
3240;69127229;1017477;20087890;13028;19977582;10858
3250;69362612;997120;20644862;18891;20542154;13463
3260;73413413;1021494;20126108;13898;20304817;11074
3270;70955572;1023937;20415776;13028;20845286;10640
3280;72943733;1006240;20934531;15200;20632702;12811
3290;71096281;1039246;20259434;13680;21606154;11074
3300;73280522;1017911;22134463;13246;21070896;10857
3310;71611126;1180171;20685902;21715;20203845;18674
3320;74302396;1043914;20961674;13463;20603605;11508
3330;72113378;1096409;20922154;14114;20895445;11291
3340;73682236;1082620;20767114;13462;21492588;11509
3350;79209391;1293846;23566520;21497;25808087;18674
3360;81235769;1212200;22981320;21063;22416097;19543
3370;74164292;1060580;21256120;13680;21212040;15418
3380;76581094;1085225;22049777;13680;22067148;11509
3390;76850351;1044294;21679983;13898;22221971;11291
3400;78428980;1103194;22583080;15200;22575263;11943
3410;78036602;1076323;22229137;13897;22273651;11291
3420;77890900;1321043;26452349;19543;23029743;16720
3430;78339517;1095377;22092988;13897;22032840;11943
3440;78648728;1089189;21893434;13680;22167252;14983
3450;79458455;1099829;22638451;14114;22861457;11292
3460;78541894;1102923;23005206;13897;22676234;12377
