Insertion Sort
Count;Sorted;Reverse;Random;Same
1260;6321.0;1051654.0;542024.0;5926.0
1270;5926.0;1067851.0;542420.0;5926.0
1280;5926.0;1084444.0;547160.0;5926.0
1290;6321.0;1282765.0;565333.0;6321.0
1300;7111.0;1169777.0;599308.0;6716.0
1310;6321.0;1137777.0;576000.0;7111.0
1320;6321.0;1154370.0;595358.0;6321.0
1330;6321.0;1176098.0;583506.0;6321.0
1340;6321.0;1191111.0;598913.0;6716.0
1350;6716.0;1326221.0;613926.0;6716.0
1360;7506.0;1233777.0;750222.0;7507.0
1370;6716.0;1249185.0;646320.0;6716.0
1380;6321.0;1267358.0;645926.0;6321.0
1390;6321.0;1288296.0;655407.0;6716.0
1400;6716.0;1390221.0;662123.0;6716.0
1410;7506.0;1414321.0;683062.0;11061.0
1420;6716.0;1337679.0;674370.0;6717.0
1430;6716.0;1359012.0;671210.0;6716.0
1440;6716.0;1380740.0;706370.0;6716.0
1450;8296.0;1400098.0;712296.0;7111.0
1460;7902.0;1526913.0;897185.0;7506.0
1470;7111.0;1436444.0;724543.0;7506.0
1480;7111.0;1459357.0;757728.0;6716.0
1490;7111.0;1479506.0;759308.0;7111.0
1500;7112.0;1619357.0;780642.0;7111.0
1510;8296.0;1524938.0;867950.0;7901.0
1520;7111.0;1537975.0;774716.0;7111.0
1530;7112.0;1559309.0;781827.0;7506.0
1540;7111.0;1582616.0;813432.0;7506.0
1550;8297.0;1762765.0;893629.0;7506.0
1560;7506.0;1622123.0;829629.0;7902.0
1570;7507.0;1638320.0;839111.0;7901.0
1580;7111.0;1665185.0;830024.0;7506.0
1590;7506.0;1865085.0;857284.0;7506.0
1600;7901.0;1709827.0;931555.0;9481.0
1610;7506.0;1733135.0;907062.0;7506.0
1620;7506.0;1754073.0;882172.0;7506.0
1630;7901.0;1857975.0;884938.0;7901.0
1640;10271.0;1801876.0;942617.0;12642.0
1650;8296.0;1829530.0;902716.0;7902.0
1660;8297.0;1910518.0;982914.0;8296.0
1670;8296.0;2729481.0;938271.0;8296.0
1680;13432.0;1942518.0;1115654.0;17382.0
1690;13432.0;4076641.0;1021629.0;9877.0
1700;14222.0;3380936.0;1645432.0;15407.0
1710;10666.0;2122666.0;1138962.0;11456.0
1720;8691.0;1991901.0;1095901.0;13827.0
1730;11456.0;2484542.0;1388247.0;9876.0
1740;8296.0;2190617.0;1027950.0;9086.0
1750;8297.0;2101728.0;1031110.0;9087.0
1760;18568.0;2365628.0;1223900.0;8296.0
1770;8692.0;2123851.0;1075752.0;9876.0
1780;8296.0;2130172.0;1067061.0;8691.0
1790;9876.0;2508246.0;1073382.0;9086.0
1800;9087.0;2198913.0;1263012.0;12642.0
1810;9086.0;2208789.0;1131061.0;9482.0
1820;8692.0;2208790.0;1137777.0;8297.0
1830;11852.0;2241579.0;1207308.0;13432.0
1840;8692.0;2260147.0;1115258.0;9086.0
1850;8692.0;2281876.0;1131851.0;8691.0
1860;16197.0;2432394.0;1313185.0;8692.0
1870;9086.0;2336394.0;1202567.0;9482.0
1880;9086.0;2358123.0;1226271.0;9086.0
1890;9086.0;2689974.0;1195456.0;9086.0
1900;9087.0;2409085.0;1227851.0;9876.0
