Quick Sort Inplace First Pivot (Cutoff: 5.0)
Count;Sorted;Reverse;Random;Same
1390;898765.0;1845728.0;118123.0;39901.0
1400;909827.0;2187851.0;121284.0;40692.0
1410;929975.0;1900246.0;123655.0;39901.0
1420;942617.0;1933036.0;156444.0;38716.0
1430;1505580.0;3589924.0;171061.0;40296.0
1440;2619654.0;2274369.0;203851.0;80987.0
1450;981728.0;2011654.0;124445.0;40691.0
1460;993580.0;2332838.0;126815.0;39901.0
1470;1020839.0;2075258.0;125235.0;41481.0
1480;1020444.0;2097777.0;131951.0;40297.0
1490;1035061.0;2151900.0;130370.0;42271.0
1500;1263802.0;2356542.0;131950.0;41086.0
1510;1061531.0;2187851.0;136691.0;41877.0
1520;1075752.0;2211160.0;140247.0;41877.0
1530;1088790.0;2458073.0;130370.0;41877.0
1540;1108937.0;2273184.0;140247.0;53334.0
1550;1130667.0;2303999.0;136691.0;42271.0
1560;1131456.0;2330469.0;140642.0;42271.0
1570;1454617.0;2368394.0;152099.0;48593.0
1580;1159506.0;2398419.0;139457.0;43062.0
1590;1174123.0;2419752.0;139457.0;43456.0
1600;1242074.0;2655999.0;140642.0;47407.0
1610;1209679.0;2497580.0;142222.0;44247.0
1620;1235752.0;2512196.0;144198.0;43852.0
1630;1540740.0;2579752.0;145382.0;44247.0
1640;1280395.0;2577777.0;149334.0;50173.0
1650;1265778.0;2597925.0;148938.0;44642.0
1660;1593283.0;2670221.0;148543.0;46222.0
1670;1295407.0;2690369.0;151704.0;45432.0
1680;1312790.0;2709332.0;160791.0;45432.0
1690;1641876.0;2775702.0;159210.0;47407.0
1700;1346765.0;2789925.0;148148.0;46222.0
1710;1378370.0;2832197.0;150123.0;46617.0
1720;1381925.0;2859456.0;220445.0;69136.0
1730;1392987.0;2874073.0;163556.0;47013.0
1740;1406815.0;3316147.0;158024.0;47013.0
1750;1426567.0;2944394.0;155654.0;50173.0
1760;1441975.0;2963357.0;158419.0;52544.0
1770;1507160.0;3438616.0;156444.0;54913.0
1780;1470419.0;3038814.0;170666.0;49383.0
1790;1847703.0;7340244.0;154469.0;48197.0
1800;1524147.0;3261628.0;160000.0;50963.0
1810;1640691.0;3550023.0;161580.0;50173.0
