Size;Time
1000;0.002816783
1200;0.003213425
1400;0.001872984
1600;0.001684539
1800;0.002263303
2000;0.002266859
2200;0.002119897
2400;0.002116341
2600;0.003005623
2800;0.001695601
3000;0.001508737
3200;0.001020838
3400;0.001588935
3600;0.001544688
3800;9.99899E-4
4000;8.73084E-4
4200;0.001356244
4400;0.001182417
4600;8.67949E-4
4800;0.001207306
5000;0.001348343
