Size;Time
647;1185
648;1185
649;1185
650;1185
651;1185
652;1185
653;1185
654;1185
655;1185
656;1185
657;1185
658;1185
659;1185
660;1185
661;1185
662;1185
663;6716
664;1580
665;1580
666;2371
667;1185
668;3161
669;11457
670;1185
671;1580
672;790
673;1185
674;790
675;1185
676;790
677;1975
678;2765
679;790
680;1185
681;1185
682;790
683;1186
684;790
685;790
686;790
687;1185
688;790
689;790
690;790
691;1185
692;790
693;1185
694;790
695;790
696;790
697;1185
698;790
699;1186
700;790
701;1975
702;1185
703;1185
704;1185
705;1185
706;1186
707;790
708;790
709;790
710;790
711;790
712;790
713;790
714;1185
715;1185
716;1185
717;1185
718;1185
719;1185
720;1580
721;1185
722;790
723;1185
724;1580
725;790
726;790
727;2370
728;1185
729;1185
730;1185
731;2370
732;790
733;790
734;1581
735;1185
736;1185
737;790
738;790
739;790
740;1186
741;790
742;1185
743;1185
744;1185
745;1185
746;790
747;1185
748;1185
749;790
750;1185
751;1185
752;1185
753;1185
754;790
755;1185
756;1185
757;1185
758;790
759;1185
760;790
761;790
762;1185
763;1580
764;790
765;790
766;3160
767;1185
768;791
769;790
770;395
771;790
772;790
773;790
774;790
775;790
776;1185
777;790
778;1185
779;790
780;1185
781;790
782;790
783;1185
784;1580
785;1185
786;1186
787;1185
788;1975
789;1975
790;1975
791;2371
792;3556
793;1975
794;1581
795;1185
796;1185
797;1975
798;1580
799;1580
800;1975
801;790
802;1975
803;1580
804;1186
805;1581
806;1185
807;1185
808;1975
809;1580
810;1185
811;4345
812;1975
813;2765
814;2765
815;1185
816;1975
817;791
818;1580
819;1186
820;1580
821;1185
822;1185
823;1185
824;1580
825;1580
826;1186
827;1581
828;1185
829;790
830;790
831;790
832;790
833;1185
834;1580
835;1185
836;1185
837;790
838;1185
839;3950
840;1185
841;1185
842;790
843;790
844;24889
845;790
846;790
847;1185
848;1581
849;1976
850;1185
851;1186
852;5136
853;1185
854;1580
855;790
856;1185
857;790
858;1185
859;1185
860;790
861;790
862;1186
863;1185
864;1185
865;1185
866;2765
867;1580
868;5136
869;1186
870;790
871;1580
872;1580
873;1186
874;1581
875;1185
876;1185
877;1185
878;1185
879;1185
880;790
881;1186
882;1185
883;790
884;790
885;1185
886;790
887;1185
888;790
889;790
890;1185
891;1185
892;1185
893;1976
894;790
895;1186
896;1185
897;1185
898;1976
899;790
900;1185
901;1185
902;790
903;790
904;790
905;1580
906;1185
907;1185
908;10271
909;1185
910;1580
911;790
912;1581
913;790
914;790
915;1185
916;1580
917;1185
918;1185
919;1185
920;1185
921;790
922;790
923;1185
924;1185
925;1185
926;1975
927;790
928;3556
929;1975
930;1580
931;1976
932;1185
933;1581
934;790
935;791
936;790
937;1185
938;790
939;790
940;790
941;791
942;790
943;790
944;1185
945;790
946;790
947;790
948;1185
949;1185
950;1185
951;1580
952;790
953;1975
954;1580
955;1185
956;1186
957;1185
958;3555
959;790
960;790
961;1580
962;790
963;790
964;790
965;790
966;790
967;1185
968;1185
969;790
970;2766
971;1185
972;790
973;1185
974;790
975;790
976;1975
977;1185
978;1185
979;1185
980;790
981;1186
982;1185
983;1186
984;791
985;1185
986;1185
987;1185
988;1185
989;790
990;1185
991;790
992;790
993;1185
994;1580
995;790
996;1185
997;1580
998;1185
999;1185
1000;1185
1001;790
1002;1185
1003;1185
1004;1185
1005;1185
1006;1185
1007;1975
1008;1186
1009;790
1010;1185
1011;791
1012;1185
1013;1186
1014;790
1015;790
1016;790
1017;790
1018;790
1019;790
1020;1185
1021;790
1022;1185
1023;790
1024;1186
1025;1580
1026;1185
1027;790
1028;1580
1029;1580
1030;1185
1031;1185
1032;1185
1033;790
1034;790
1035;790
1036;790
1037;790
1038;1581
1039;1185
1040;1185
1041;2370
1042;1185
1043;1186
1044;1185
1045;790
1046;1975
1047;1185
1048;790
1049;1185
1050;1186
1051;1185
1052;1185
1053;790
1054;790
1055;1580
1056;1185
1057;1185
1058;1185
1059;1185
1060;1186
1061;790
1062;790
1063;790
1064;1185
1065;1185
1066;790
1067;1975
1068;1185
1069;2371
1070;790
1071;790
1072;791
1073;790
1074;1185
1075;790
1076;790
1077;790
1078;790
1079;1186
1080;3951
1081;1185
1082;790
1083;790
1084;790
1085;790
1086;790
1087;1185
1088;1185
1089;790
1090;1185
1091;1186
1092;790
1093;1185
1094;790
1095;1580
1096;790
1097;790
1098;790
1099;1185
1100;790
1101;790
1102;790
1103;1185
1104;1185
1105;1185
1106;790
1107;1186
1108;1185
1109;1186
1110;791
1111;1185
1112;1976
1113;1185
1114;1185
1115;790
1116;1185
1117;1185
1118;1185
1119;790
1120;790
1121;1185
1122;1185
1123;790
1124;1185
1125;790
1126;791
1127;1185
1128;790
1129;791
1130;790
1131;790
1132;790
1133;1185
1134;790
1135;1186
1136;790
1137;790
1138;790
1139;1185
1140;1185
1141;790
1142;1185
1143;1186
1144;790
1145;1185
1146;790
1147;1185
1148;790
1149;790
1150;790
1151;20148
1152;5531
1153;4346
1154;395
1155;395
1156;395
1157;790
1158;395
1159;0
1160;1580
1161;395
1162;395
1163;0
1164;1185
1165;395
